,Tweets
223,"@ghakunavanhu Hie Gabriel, thank you for getting in touch. We have resent the confirmation message. ^TFM"
224,"@armhannd Hi @armhannd, thank you for getting in touch. Kindly note that we have responded. ^PM"
225,"@PvtIcs Hi @PvtIcs, we sincerely apologize for that unpleasant experience. May you kindly direct message us your mo… https://t.co/pD5nam7Drl"
226,"@cmukonza Hie Collen, thank you for reaching out to us. May you please direct message your mobile number and the nu… https://t.co/t9mzpJyv3j"
227,@kuemadanzi May you direct message us your mobile number and National I.D.  number. ^PM
228,"@kaykelvinkay Hi @kaykelvinkay, we are sorry about that. May you kindly direct message us your mobile number, the a… https://t.co/DYVlrwbexL"
229,"@Ambrosinna Hi @Ambrosinna, please check your DM for our response. ^PM"
230,"@kuemadanzi Hi @kuemadanzi, thank you for getting in touch with us. May you kindly explain the nurture of your chal… https://t.co/VMDJpXRA73"
231,"@ericfusire Hi @ericfusire, the bundles still exist. Wifi bundles work at  Econet Wifi hotspots. Go to your Google… https://t.co/ewHsTId2HW"
232,@nyashazamani Please check your DM for our response. ^PM
233,"@terry_guta Hie Terry, may you please direct message your mobile, amount and bank account number so that we can assist you. ^TFM"
234,"@NRejoice77 Makadini Rejoice, tinehurombo nedambudziko iri. Tiri kuzvigadzirisa. ^TFM"
235,"@elly95293286 Hie ELTON P, apologies for the delay. We are working on resolving the challenge. Once done, you will… https://t.co/tHF1B8MTEt"
236,"@rufaro_chirume Hie Rufaro, may you please direct message your mobile number so that we can assist. ^TFM"
237,"@FerdinandNyoni Noted, we are attending to the issue. ^TFM"
238,"@TeendoeChingy Hie @TeendoeChingy, we are looking into the issue. ^TFM"
239,"@VimbaiSairon Hie Vimbai, thank you for getting in touch. May you please direct message us your mobile number so that we can assist. ^TFM"
240,"@Lucille59209108 Thank you, please check your messages for our response. ^TFM"
241,"@EscobarPabllo1 Hi @EscobarPabllo1, we apologize for your experience. We had challenges on our EcoCash platform. Th… https://t.co/97CZDAnOto"
242,"@RMaritinyu Hie Rubrin, may you please send STOP to 30440 to opt out of receiving commercial messages. ^TFM"
243,"@Kandare_Sam Hi @Kandare_Sam, we are sorry for that experience. Kindly DM us your mobile number and the amount so t… https://t.co/eSwDQcKwpR"
244,"@cmbanhete Sorry about that, please try now. ^TFM"
245,"@rchafa4 Hi @rchafa4, we are sorry for that experience. May you kindly DM us your mobile number so that we investigate and assist.^PM"
246,"@nyashazamani Hi @nyashazamani, kindly DM us your mobile number and the amount so that we investigate and assist. ^PM"
247,"@i_am_shingi Hi @i_am_shingi, we apologize for that experience. Kindly note that our technical team is working on r… https://t.co/3M227WgEZO"
248,@EscobarPabllo1 How may we assist @EscobarPabllo1? ^MM
249,@FerdinandNyoni Hie Ferdinand. Kindly DM your number and the type of bundle that you need assistance on. ^GFK
250,@armhannd Kindly check your DM @armhannd. ^MM
251,@DrMartinStrange Kindly check your DM. ^GFK
252,"@musvutisi You are able to recharge using Ecocash, a physical scratch card or have the airtime credited into your l… https://t.co/BXQ2iEpOYv"
253,@anglersambition Kindly DM now @anglersambition. ^MM
254,"@ghakunavanhu Hie Gabriel, we have resent the message. ^GFK"
255,"@musvutisi Thank you. We have activated the service. Please restart your device and manually search for Telefonica,… https://t.co/4bNl1y0NDd"
256,"@normzRED Hie normz, sorry you feel that way. Kindly enlighten us on the issue at hand so that we know how best to assist. ^GFK"
257,"@normzRED Hi @normzRED, may you kindly share your mobile number and challenge faced in our DM so that we can assist. ^MM"
258,"@MWeshava Hii sorry Vee, kindly check your DM. ^GFK"
259,"@nyashazamani Makadini @nyashazamani, tinokumbirawo mutizivise dambudziko ramasangana naro kuti tikwanise kukubatsirai. ^MM"
260,@kamarkambona Hie Ngamla. Please let us know if you received a reference number of the query. ^GFK
261,@DrMartinStrange We have responded to your DM @DrMartinStrange. ^MM
262,"@1changamire @iAmKudaMaynard If you are still facing the same challenge, you can share your mobile number for assistance. ^MM"
263,"@RukandaBrian Hie Brian, sorry for your experience on our network. Kindly DM your number for further assistance. ^GFK"
264,@EriaChisakaitw2 Hie Eria. Kindly forward the reference numbers of the queries. ^GFK
265,"@musvutisi Hie Chiki, please let us know the destination that you are visiting. ^GFK"
266,"@IshmaelChiwayu Thank you, we are making a follow-up. ^GFK"
267,"@cmbanhete Sorry to take you back and forth, kindly include your full name and ID number. ^GFK"
268,@nyashazamani Hie Nyasha. Please DM your number and the date that this occurred for further investigation. ^GFK
269,"@GraceMutandwa1 Hie Grace, kindly DM your number. ^GFK"
270,"@queenkathiey_ @econetzimbabwe Makadini @queenkathiey_, tinehurombo nekunonoka kugadzirisa asi dambudziko iri ririkugadziriswa. Tatenda. ^MM"
271,"@rachel_mbanje @econetzimbabwe Hi @rachel_mbanje, thank you for the feedback and support. ^MM"
272,"@DrMartinStrange Makadini Buddie? Please let us know if you had received a reference number of the query. If not, k… https://t.co/nmoyJKkwUb"
273,"@DuncanNNatale Hie Duncan, thank you for letting us know. Sorry for your experience on our network. Kindly send ""NE… https://t.co/cG20fUGrn8"
274,@silasmparadza Hie @silasmparadza. Kindly enlighten us on the issue at hand so that we know how best to assist. ^GFK
275,@MWeshava Hie Vee. Kindly DM your number. ^GFK
276,"@mdlulinare Hie Alfred, kindly DM your number and explain the challenge that you are facing in detail. Please inclu… https://t.co/9GUtArpKGI"
277,"@_V_alerie_ Hie Valerie, please let us know if you received a reference number of the query. ^GFK"
278,"@bhoqo_ Hie Dumisani. Sorry, we are making a follow up on the issue. ^GFK"
279,@IshmaelChiwayu Hie Ishmael. Please DM your number. ^GFK
280,@mafilosso Hie Buddie. Kindly confirm that the provided number is the one that you used to make the transaction as… https://t.co/bncWXC1qL1
